time	V(timing)	V(n005)
0.000000000000000e+00	0.000000e+00	3.299967e-04
1.171875096961372e-10	3.867188e-04	3.299967e-04
2.343750193922745e-10	7.734376e-04	3.299967e-04
4.687500387845489e-10	1.546875e-03	3.299967e-04
9.375000775690978e-10	3.093750e-03	3.299967e-04
1.875000155138196e-09	6.187500e-03	3.299967e-04
3.695045670425947e-09	1.219365e-02	3.299967e-04
5.553836994478891e-09	1.832766e-02	3.299967e-04
8.880151535634121e-09	2.930450e-02	3.299967e-04
1.318820598782360e-08	4.352108e-02	3.299967e-04
2.078619158371207e-08	6.859443e-02	3.299967e-04
3.141003533658925e-08	1.036531e-01	3.299967e-04
4.836809037505425e-08	1.596147e-01	3.299967e-04
7.132319747171860e-08	2.353666e-01	3.299967e-04
1.070066479660086e-07	3.531219e-01	3.299967e-04
1.433066020790321e-07	4.729118e-01	3.299967e-04
1.514944906601433e-07	4.999318e-01	3.373479e-04
1.524944906601433e-07	5.032318e-01	3.539197e-04
1.615131102493792e-07	5.329933e-01	6.440555e-04
1.667723624750816e-07	5.503488e-01	8.175698e-04
1.726556911933632e-07	5.697638e-01	1.011657e-03
1.844223486299264e-07	6.085938e-01	1.399781e-03
2.079556635030529e-07	6.862537e-01	2.175842e-03
2.550222932493059e-07	8.415736e-01	3.727210e-03
3.491555527418118e-07	1.152213e+00	6.826937e-03
5.374220717268237e-07	1.773493e+00	1.301740e-02
7.358166890876348e-07	2.428195e+00	1.952974e-02
8.775123144001465e-07	2.895791e+00	2.417297e-02
9.711022859857861e-07	3.204638e+00	2.723592e-02
1.000000000000000e-06	3.300000e+00	2.818085e-02
1.049421624549942e-06	3.300000e+00	2.979590e-02
1.100564438898500e-06	3.300000e+00	3.146630e-02
1.168247930142621e-06	3.300000e+00	3.367509e-02
1.303614912630863e-06	3.300000e+00	3.808679e-02
1.534066217283208e-06	3.300000e+00	4.558185e-02
1.853012539312351e-06	3.300000e+00	5.593206e-02
1.975373628199381e-06	3.300000e+00	5.989430e-02
2.085701483744474e-06	3.300000e+00	6.346082e-02
2.151016340934708e-06	3.300000e+00	6.556993e-02
2.248473669485835e-06	3.300000e+00	6.871340e-02
2.388099192377457e-06	3.300000e+00	7.321042e-02
2.616967723519103e-06	3.300000e+00	8.056597e-02
2.931740006453633e-06	3.300000e+00	9.064804e-02
3.485075864675308e-06	3.300000e+00	1.082644e-01
4.591747581118659e-06	3.300000e+00	1.430960e-01
6.805091014005362e-06	3.300000e+00	2.117493e-01
8.254874291712596e-06	3.300000e+00	2.559856e-01
9.461747808794470e-06	3.300000e+00	2.922560e-01
1.007984483182021e-05	3.300000e+00	3.106382e-01
1.060377211834071e-05	3.300000e+00	3.260983e-01
1.109754773056205e-05	3.300000e+00	3.405844e-01
1.157103847817456e-05	3.300000e+00	3.543934e-01
1.222984123948623e-05	3.300000e+00	3.734782e-01
1.305264965910978e-05	3.300000e+00	3.971075e-01
1.426752683445107e-05	3.300000e+00	4.315902e-01
1.583963286428977e-05	3.300000e+00	4.756676e-01
1.669648630752886e-05	3.300000e+00	4.993974e-01
1.752510269333129e-05	3.300000e+00	5.220679e-01
1.868131321399991e-05	3.300000e+00	5.533490e-01
1.991621009232676e-05	3.300000e+00	5.862932e-01
2.181647967582516e-05	3.300000e+00	6.361223e-01
2.380292212991588e-05	3.300000e+00	6.870489e-01
2.692965390003890e-05	3.300000e+00	7.648798e-01
3.069473711842836e-05	3.300000e+00	8.546183e-01
3.783922045465147e-05	3.300000e+00	1.013934e+00
4.852075361335373e-05	3.300000e+00	1.231683e+00
6.023950361335373e-05	3.300000e+00	1.445220e+00
7.195825361335372e-05	3.300000e+00	1.633505e+00
8.367700361335372e-05	3.300000e+00	1.798989e+00
9.539575361335372e-05	3.300000e+00	1.944432e+00
1.071145036133537e-04	3.300000e+00	2.072262e+00
1.188332536133537e-04	3.300000e+00	2.184612e+00
1.305520036133537e-04	3.300000e+00	2.283356e+00
1.422707536133537e-04	3.300000e+00	2.370142e+00
1.539895036133537e-04	3.300000e+00	2.446418e+00
1.657082536133537e-04	3.300000e+00	2.513458e+00
1.774270036133538e-04	3.300000e+00	2.572378e+00
1.891457536133538e-04	3.300000e+00	2.624164e+00
2.008645036133538e-04	3.300000e+00	2.669678e+00
2.125832536133538e-04	3.300000e+00	2.709680e+00
2.243020036133538e-04	3.300000e+00	2.744838e+00
2.360207536133538e-04	3.300000e+00	2.775738e+00
2.477395036133538e-04	3.300000e+00	2.802896e+00
2.594582536133538e-04	3.300000e+00	2.826766e+00
2.711770036133538e-04	3.300000e+00	2.847744e+00
2.828957536133538e-04	3.300000e+00	2.866183e+00
2.946145036133538e-04	3.300000e+00	2.882388e+00
3.063332536133538e-04	3.300000e+00	2.896631e+00
3.180520036133538e-04	3.300000e+00	2.909149e+00
3.297707536133539e-04	3.300000e+00	2.920151e+00
3.414895036133539e-04	3.300000e+00	2.929821e+00
3.532082536133539e-04	3.300000e+00	2.938320e+00
3.649270036133539e-04	3.300000e+00	2.945789e+00
3.766457536133539e-04	3.300000e+00	2.952354e+00
3.883645036133539e-04	3.300000e+00	2.958124e+00
4.000832536133539e-04	3.300000e+00	2.963195e+00
4.118020036133539e-04	3.300000e+00	2.967652e+00
4.235207536133539e-04	3.300000e+00	2.971570e+00
4.352395036133540e-04	3.300000e+00	2.975012e+00
4.469582536133540e-04	3.300000e+00	2.978038e+00
4.586770036133540e-04	3.300000e+00	2.980698e+00
4.703957536133540e-04	3.300000e+00	2.983036e+00
4.821145036133540e-04	3.300000e+00	2.985090e+00
4.938332536133540e-04	3.300000e+00	2.986896e+00
5.055520036133540e-04	3.300000e+00	2.988482e+00
5.172707536133540e-04	3.300000e+00	2.989877e+00
5.289895036133540e-04	3.300000e+00	2.991103e+00
5.407082536133540e-04	3.300000e+00	2.992180e+00
5.524270036133541e-04	3.300000e+00	2.993127e+00
5.641457536133541e-04	3.300000e+00	2.993960e+00
5.758645036133541e-04	3.300000e+00	2.994691e+00
5.875832536133541e-04	3.300000e+00	2.995334e+00
5.993020036133541e-04	3.300000e+00	2.995899e+00
6.110207536133541e-04	3.300000e+00	2.996396e+00
6.227395036133541e-04	3.300000e+00	2.996832e+00
6.344582536133541e-04	3.300000e+00	2.997216e+00
6.461770036133541e-04	3.300000e+00	2.997553e+00
6.578957536133542e-04	3.300000e+00	2.997849e+00
6.696145036133542e-04	3.300000e+00	2.998110e+00
6.813332536133542e-04	3.300000e+00	2.998338e+00
6.930520036133542e-04	3.300000e+00	2.998540e+00
7.047707536133542e-04	3.300000e+00	2.998716e+00
7.164895036133542e-04	3.300000e+00	2.998872e+00
7.282082536133542e-04	3.300000e+00	2.999008e+00
7.399270036133542e-04	3.300000e+00	2.999129e+00
7.516457536133542e-04	3.300000e+00	2.999234e+00
7.633645036133542e-04	3.300000e+00	2.999327e+00
7.750832536133543e-04	3.300000e+00	2.999408e+00
7.868020036133543e-04	3.300000e+00	2.999480e+00
7.985207536133543e-04	3.300000e+00	2.999543e+00
8.102395036133543e-04	3.300000e+00	2.999598e+00
8.219582536133543e-04	3.300000e+00	2.999647e+00
8.336770036133543e-04	3.300000e+00	2.999690e+00
8.453957536133543e-04	3.300000e+00	2.999727e+00
8.571145036133543e-04	3.300000e+00	2.999760e+00
8.688332536133543e-04	3.300000e+00	2.999789e+00
8.805520036133543e-04	3.300000e+00	2.999815e+00
8.922707536133544e-04	3.300000e+00	2.999837e+00
9.039895036133544e-04	3.300000e+00	2.999857e+00
9.157082536133544e-04	3.300000e+00	2.999874e+00
9.274270036133544e-04	3.300000e+00	2.999889e+00
9.391457536133544e-04	3.300000e+00	2.999903e+00
9.508645036133544e-04	3.300000e+00	2.999914e+00
9.625832536133544e-04	3.300000e+00	2.999925e+00
9.860207536133544e-04	3.300000e+00	2.999942e+00
1.009458253613354e-03	3.300000e+00	2.999955e+00
1.032895753613354e-03	3.300000e+00	2.999965e+00
1.056333253613355e-03	3.300000e+00	2.999973e+00
1.091489503613355e-03	3.300000e+00	2.999982e+00
1.126645753613355e-03	3.300000e+00	2.999987e+00
1.151757360756212e-03	3.300000e+00	2.999990e+00
1.176868967899069e-03	3.300000e+00	2.999993e+00
1.201980575041926e-03	3.300000e+00	2.999994e+00
1.227092182184783e-03	3.300000e+00	2.999996e+00
1.252203789327640e-03	3.300000e+00	2.999997e+00
1.277315396470498e-03	3.300000e+00	2.999998e+00
1.302427003613355e-03	3.300000e+00	2.999998e+00
1.362694860756212e-03	3.300000e+00	2.999998e+00
1.422962717899069e-03	3.300000e+00	2.999999e+00
1.483230575041926e-03	3.300000e+00	2.999999e+00
1.543498432184784e-03	3.300000e+00	3.000000e+00
1.603766289327641e-03	3.300000e+00	3.000000e+00
1.664034146470498e-03	3.300000e+00	3.000000e+00
1.724302003613355e-03	3.300000e+00	3.000000e+00
5.989927003613281e-03	3.300000e+00	3.000000e+00
6.001000000000000e-03	3.300000e+00	3.000000e+00
6.001048160568047e-03	3.141070e+00	3.000000e+00
6.001144481704139e-03	2.823210e+00	3.000000e+00
6.001191117407167e-03	2.669312e+00	3.000000e+00
6.001239430294902e-03	2.509880e+00	3.000000e+00
6.001290368631084e-03	2.341784e+00	3.000000e+00
6.001343248954397e-03	2.167279e+00	3.000000e+00
6.001400021497573e-03	1.979929e+00	3.000000e+00
6.001465022670210e-03	1.765425e+00	3.000000e+00
6.001533032290305e-03	1.540993e+00	3.000000e+00
6.001601946720096e-03	1.313576e+00	3.000000e+00
6.001673256859233e-03	1.078252e+00	3.000000e+00
6.001751042432940e-03	8.215600e-01	3.000000e+00
6.001796580831928e-03	6.712832e-01	3.000000e+00
6.001825209448895e-03	5.768088e-01	3.000000e+00
6.001840790525779e-03	5.253913e-01	3.000000e+00
6.001848484791311e-03	5.000002e-01	2.999999e+00
6.001849484791311e-03	4.967002e-01	2.999998e+00
6.001851429581297e-03	4.902824e-01	2.999992e+00
6.001854070973517e-03	4.815658e-01	2.999985e+00
6.001856773341319e-03	4.726480e-01	2.999976e+00
6.001862178076922e-03	4.548123e-01	2.999960e+00
6.001872987548130e-03	4.191411e-01	2.999928e+00
6.001894606490545e-03	3.477986e-01	2.999863e+00
6.001937844375375e-03	2.051136e-01	2.999733e+00
6.002000000000000e-03	0.000000e+00	2.999547e+00
6.002028300202467e-03	0.000000e+00	2.999462e+00
6.002049498732784e-03	0.000000e+00	2.999398e+00
6.002058971860458e-03	0.000000e+00	2.999370e+00
6.002071511887279e-03	0.000000e+00	2.999332e+00
6.002081348726556e-03	0.000000e+00	2.999303e+00
6.002092662452393e-03	0.000000e+00	2.999269e+00
6.002106397075062e-03	0.000000e+00	2.999228e+00
6.002123598489530e-03	0.000000e+00	2.999176e+00
6.002140635148724e-03	0.000000e+00	2.999125e+00
6.002156857385071e-03	0.000000e+00	2.999076e+00
6.002173197273167e-03	0.000000e+00	2.999027e+00
6.002193203590877e-03	0.000000e+00	2.998967e+00
6.002217488177505e-03	0.000000e+00	2.998894e+00
6.002248986760524e-03	0.000000e+00	2.998800e+00
